,nom_kp,firstname,lastname,email,id,alamat_rumah,poskod,bandar,daerah,nama_sekolah,poskod_sekolah,bandar_sekolah,alamat_sekolah,email_sekolah,nama_pengetua,email_pengetua
82,841218-66-3260,Kristen,Rivera,krivera@gmail.com,82,"No. 43, Lorong Sawi 5, Taman Sawi",9080,Padang Serai,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
83,980117-33-4221,Carol,Estrada,cestrada@gmail.com,83,"No. 87, Lorong Kulim Sejahtera 8, Taman Kulim Sejahtera",9080,Padang Serai,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
84,911004-33-3266,Sarah,Santos,ssantos@gmail.com,84,"No. 45, Lorong Melati 6, Taman Melati",9090,Kulim HiTech,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
85,971220-44-4227,Matthew,Trujillo,mtrujillo@gmail.com,85,"No. 78, Lorong Kulim Sentosa 18, Taman Kulim Sentosa",9050,Sungai Kob,Kulim,SMK Taman Jelutong,9000,Kulim,"Taman Jelutong, 09000 Kulim, Kedah",information@smk_taman_jelutong.edu.my,Muthusamy A/L Rajan,muthusamy.rajan@sekolah.edu.my
86,990426-44-4231,Joshua,Thomas,jthomas@gmail.com,86,"No. 16, Lorong Kulim Perdana 6, Taman Kulim Perdana",9080,Padang Serai,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
87,870911-44-3268,Tiffany,Flores,tflores@gmail.com,87,"No. 45, Lorong Seroja 20, Taman Seroja",9050,Sungai Kob,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
88,930630-88-4235,Eric,Robertson,erobertson@gmail.com,88,"No. 150, Lorong Teratai 19, Taman Teratai",9080,Padang Serai,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
89,920215-88-4237,Meghan,Cox,mcox@gmail.com,89,"No. 123, Lorong Melur 5, Taman Melur",9050,Sungai Kob,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
90,920721-66-4239,Roger,Hart,rhart@gmail.com,90,"No. 54, Lorong Kulim Makmur 18, Taman Kulim Makmur",9050,Sungai Kob,Kulim,SMK Lunas,9600,Lunas,"Jalan Lunas, 09010 Lunas, Kedah",information@smk_lunas.edu.my,Syed Amir Bin Taufik,syed.amir@sekolah.edu.my
91,931207-66-4241,Crystal,Carney,ccarney@gmail.com,91,"No. 63, Lorong Putra 16, Taman Putra",9000,Kulim,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
92,840710-99-3274,Daniel,Allen,dallen@gmail.com,92,"No. 34, Lorong Kucai 9, Taman Kucai",9050,Sungai Kob,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
93,881208-77-4249,Natalie,Hall,nhall@gmail.com,93,"No. 36, Lorong Kucai 9, Taman Kucai",9010,Lunas,Kulim,SMK Sungai Kob,9700,Karangan,"Jalan Sungai Kob, 09050 Sungai Kob, Kedah",information@smk_sungai_kob.edu.my,Siti Nor Aisyah Binti Rahman,siti.aisyah@sekolah.edu.my
94,860324-44-3276,Jessica,Clark,jclark1@gmail.com,94,"No. 62, Lorong Kucai 16, Taman Kucai",9050,Sungai Kob,Kulim,SMK Air Merah,9000,Kulim,"Jalan Air Merah, 09000 Kulim, Kedah",information@smk_air_merah.edu.my,Ahmad Zulkifli Bin Hassan,ahmad.zulkifli@sekolah.edu.my
95,930506-66-4257,Lee,Moore,lmoore@gmail.com,95,"No. 74, Lorong Kulim Jaya 10, Taman Kulim Jaya",9000,Kulim,Kulim,SMK Labu Besar,9010,Kulim,"Kampung Labu Besar, 09000 Kulim, Kedah",information@smk_labu_besar.edu.my,Faridah Binti Salleh,faridah.salleh@sekolah.edu.my
96,951107-44-4259,Brian,Mann,bmann@gmail.com,96,"No. 134, Lorong Kulim Perdana 10, Taman Kulim Perdana",9010,Lunas,Kulim,SMK Taman Mutiara,9700,Karangan,"Taman Mutiara, 09000 Kulim, Kedah",information@smk_taman_mutiara.edu.my,Fadzli Bin Ramli,fadzli.ramli@sekolah.edu.my
97,971022-66-3282,Christy,Hall,chall1@gmail.com,97,"No. 67, Lorong Anggerik 12, Taman Anggerik",9080,Padang Serai,Kulim,SMK Keladi,9000,Kulim,"Jalan Keladi, 09000 Kulim, Kedah",information@smk_keladi.edu.my,Roslan Bin Osman,roslan.osman@sekolah.edu.my
98,830122-88-3284,Adriana,Mills,amills@gmail.com,98,"No. 67, Lorong Kenanga 13, Taman Kenanga",9090,Kulim HiTech,Kulim,SMK Jalan Paya Besar,9600,Lunas,"Jalan Paya Besar, 09000 Kulim, Kedah",information@smk_jalan_paya_besar.edu.my,Nor Azman Bin Idris,nor.azman@sekolah.edu.my
99,970909-66-3288,Carol,Palmer,cpalmer@gmail.com,99,"No. 145, Lorong Kulim Perdana 15, Taman Kulim Perdana",9000,Kulim,Kulim,SMK Taman Hitech,9000,Kulim,"Persiaran Kulim Hi-Tech 3, 09090 Kulim, Kedah",information@smk_taman_hitech.edu.my,Fatimah Binti Harun,fatimah.harun@sekolah.edu.my
